장소 이름,위도,경도
일로농협하나로마트 본점 주차장,126.494296012817,34.849085681135
일로생활마트,126.494634551317,34.8493331687096
CU 무안일로점,126.49084804317911,34.85075419747279
파리바게뜨 일로농협하나로마트,126.494095072584,34.8490451841723
운남농협하나로마트,126.340378078204,34.9604471546931
소나무숲마트,126.383151734374,34.9689338947431
신월마트,126.29816400520907,34.96133725514478
황금농자재할인마트,126.34208693856334,34.961300104828574
광진마트,126.34293762088936,34.96158052891258
청운마트,126.342073656341,34.9613180602493
운남슈퍼마트,126.339491490668,34.960550500515
무안농협하나로마트,126.477723437656,34.9908607785063
롯데슈퍼프레시 무안점,126.473142725765,34.9864458966924
청계농협하나로마트,126.4296372459778,34.90907803056085
목포무안신안축협 하나로마트 무안점,126.47577175763,34.9932446072738
몽탄농협하나로마트,126.503447768194,34.9331074977228
와이식자재마트 무안점,126.47367804951756,34.98665553410143
서해안낚시할인마트,126.478131031239,34.9935990957562
서울낚시마트,126.47132134477,34.9937715395012
파군교마트,126.50276907117,34.8917455872746
은성축산마트,126.475767769181,34.9888882602886
주공마트,126.47359206343,34.9929016682554
무안낙지마트,126.390576904306,34.9276614371692
해태마트,126.476347266296,34.9895604805372
준마트,126.428769408745,34.9079913954717
승달마트,126.430682676681,34.9098031361385
A마트,126.4708279217526,34.98193888230922
이천마트,126.480375072852,34.990699093058
한아름마트,126.488087942584,34.9924877323757
태봉종합의류마트,126.473490139353,34.9876083712022
은혜마트,126.48924798917716,34.99141277422802
장수고기마트,126.473319700574,34.9875427331716
청계세탁마트,126.429569157727,34.9081646115294
패밀리마트,126.474097191382,34.9879066522657
CU 무안중앙점,126.474101572281,34.9879066712418
